id,team1,team2,date,result,bonusPhase
67,México,Sudáfrica,2026-06-11 19:00:00,2-0,false
68,Corea del Sur,Chequia,2026-06-12 02:00:00,2-1,false
70,Canadá,Bosnia y Herzegovina,2026-06-12 19:00:00,1-1,false
69,Estados Unidos,Paraguay,2026-06-13 01:00:00,4-1,false
72,Brasil,Marruecos,2026-06-13 22:00:00,1-1,false
73,Haití,Escocia,2026-06-14 01:00:00,0-1,false
71,Qatar,Suiza,2026-06-13 19:00:00,1-1,false
74,Australia,Turquía,2026-06-14 04:00:00,2-0,false
78,Holanda,Japón,2026-06-14 20:00:00,2-2,false
75,Alemania,Curazao,2026-06-14 17:00:00,7-1,false
79,Costa de Marfil,Ecuador,2026-06-14 23:00:00,1-0,false
80,Suecia,Túnez,2026-06-15 02:00:00,5-1,false
82,España,Cabo Verde,2026-06-15 16:00:00,0-0,false
84,Arabia Saudita,Uruguay,2026-06-15 22:00:00,1-1,false
83,Bélgica,Egipto,2026-06-15 19:00:00,1-1,false
85,Irán,Nueva Zelanda,2026-06-16 01:00:00,2-2,false
86,Francia,Senegal,2026-06-16 19:00:00,3-1,false
88,Argentina,Argelia,2026-06-17 01:00:00,3-0,false
89,Austria,Jordania,2026-06-17 04:00:00,3-1,false
87,Iraq,Noruega,2026-06-16 22:00:00,1-4,false
91,Portugal,Congo,2026-06-17 17:00:00,1-1,false
104,Inglaterra,Croacia,2026-06-17 20:00:00,4-2,false
106,Uzbekistán,Colombia,2026-06-18 02:00:00,1-3,false
105,Ghana,Panamá,2026-06-17 23:00:00,1-0,false
107,Chequia,Sudáfrica,2026-06-18 16:00:00,1-1,false
108,Suiza,Bosnia y Herzegovina,2026-06-18 19:00:00,4-1,false
109,Canadá,Qatar,2026-06-18 22:00:00,6-0,false
111,México,Corea del Sur,2026-06-19 01:00:00,1-0,false
116,Estados Unidos,Australia,2026-06-19 19:00:00,,false
117,Escocia,Marruecos,2026-06-19 22:00:00,,false
118,Brasil,Haití,2026-06-20 00:30:00,,false
119,Turquía,Paraguay,2026-06-20 03:00:00,,false
120,Holanda,Suecia,2026-06-20 17:00:00,,false
121,Alemania,Costa de Marfil,2026-06-20 20:00:00,,false
122,Ecuador,Curazao,2026-06-21 00:00:00,,false
123,Túnez,Japón,2026-06-21 04:00:00,,false
